"id","parent_id","name","path","has_make"
"2111","1475","Γυαλιστικά","Ανταλλακτικα & Αξεσουάρ-> Επαγγελματικών -Φορτηγών-> Λιπαντικά - Φίλτρα - Χημικά-> Γυαλιστικά","True"
"5271","477","Οβερ- Βαλβιδες λεβιέ","Ανταλλακτικα & Αξεσουάρ-> Επαγγελματικών -Φορτηγών-> Ανάρτηση & Τιμόνι-> Οβερ- Βαλβιδες λεβιέ","True"
"683","677","Καλώδια, Καλωδίωση & Kit","Ανταλλακτικα & Αξεσουάρ-> Επαγγελματικών -Φορτηγών-> Ηχος - Εικόνα - GPS-> Προϊόντα Εγκατάστασης-> Καλώδια-> Καλωδίωση & Kit","True"
"4566","4564","Μπουριά","Χύμα-> Εξοπλισμός  Μαζικής  Εστίασης-> Εξαερισμός - θέρμανση - Κλιματισμός-> Μπουριά","False"
"5358","5343","Επιφάνειες Κοπής","Χύμα-> Εξοπλισμός  Μαζικής  Εστίασης-> Εργαλεία-Σκεύη Μάγειρα-> Επιφάνειες Κοπής","False"
"4755","4754","Επαγγελματικές κάρτες","Χύμα-> Επιχειρήσεις - Εξοπλισμός-> Διάφορα για Επιχειρήσεις-> Διαφημηστικά-> Επαγγελματικές κάρτες","False"
"4713","4654","Διάφορα","Χύμα-> Επιχειρήσεις - Εξοπλισμός-> Διάφορα για Επιχειρήσεις-> Πωλείται-Ζητείται-Ενοικιάζεται Επιχείρηση-> Διάφορα","False"
"4041","3917","Δραπανοκατσάβιδα","Χύμα-> Εργαλεία & Αξεσουάρ-> Επαναφορτιζόμενα-> Δραπανοκατσάβιδα","False"
"7324","5494","Πιστόλια Κρότου","Χύμα-> Χόμπυ -Αθλητισμός-> Κυνήγι -Σκοποβολή -Τοξοβολία-> Αεροβόλα-Σκοποβολή-> Πιστόλια Κρότου","False"
"5206","3917","Τρυπάνια","Χύμα-> Εργαλεία & Αξεσουάρ-> Επαναφορτιζόμενα-> Τρυπάνια","False"
"4807","3689","Εσώρουχα","Χύμα-> Παιδικά - Βρεφικά -> Παιδικά Λευκά Είδη-> Εσώρουχα","False"
"5448","723","Πλαίσιο Πινακίδας","Ανταλλακτικα & Αξεσουάρ-> Μοτοσυκλετών-> Αξεσουάρ - Περιποίηση-> Πλαίσιο Πινακίδας","True"
"689","677","Ταμπλό Kit Εγκατάστασης","Ανταλλακτικα & Αξεσουάρ-> Επαγγελματικών -Φορτηγών-> Ηχος - Εικόνα - GPS-> Προϊόντα Εγκατάστασης-> Ταμπλό Kit Εγκατάστασης","True"
"4071","3914","Εξαρτήματα Εργαλείων Αέρος ","Χύμα-> Εργαλεία & Αξεσουάρ-> Εργαλεία Αέρος-> Εξαρτήματα Εργαλείων Αέρος ","False"
"3965","3964","Γαλλικά κλειδιά","Χύμα-> Εργαλεία & Αξεσουάρ-> Εργαλεία χειρός-> Κλειδιά-> Γαλλικά κλειδιά","False"
"3998","3911","Πιστόλια σιλικόνης","Χύμα-> Εργαλεία & Αξεσουάρ-> Εργαλεία χειρός-> Πιστόλια σιλικόνης","False"
"7787","7774","Αξεσουάρ","Χύμα-> Υγεία -Ιατρικά -Περιποίηση-> Ορθοπεδικά-> Αθλητιατρικά-> Αξεσουάρ","False"
"5388","4667","Πινακίδες-Σήματα","Χύμα-> Εξοπλισμός  Μαζικής  Εστίασης-> Σερβίρισμα-> Πινακίδες-Σήματα","False"
"6256","3916","Διάφορα Εργαλεία & Μηχανήματα ","Χύμα-> Εργαλεία & Αξεσουάρ-> Ηλεκτρικά - Ηλεκτρολογικά Εργαλεία-> Διάφορα Εργαλεία & Μηχανήματα ","False"
"8409","3880","Κράνη","Χύμα-> Χόμπυ -Αθλητισμός-> Κυνήγι -Σκοποβολή -Τοξοβολία-> Αξεσουάρ Κυνηγιού-> Κράνη","False"
"4974","4914","Κάδοι Απορριμμάτων","Χύμα-> Επιχειρήσεις - Εξοπλισμός-> Ξενοδοχειακός-> Κάδοι Απορριμμάτων","False"
"8422","5188","Ξηροί καρποί","Χύμα-> Τρόφιμα -Είδη Supermarket-> Βιολογικά Προιόντα-> Ξηροί καρποί","False"
"8193","2911","Κτηνοτροφικά","Χύμα-> Επιχειρήσεις - Εξοπλισμός-> Κτηνοτροφικά","False"
"4855","5450","Χρωματισμοί","Χύμα-> Εργασία -Υπηρεσίες-> Τεχνίτες-> Χρωματισμοί","False"
"4853","4851","Καθαρισμοί","Χύμα-> Εργασία -Υπηρεσίες-> Παροχή υπηρεσιών-> Καθαρισμοί","False"
"4684","4127","Αλλοι Φούρνοι","Χύμα-> Εξοπλισμός  Μαζικής  Εστίασης-> Φούρνοι-> Αλλοι Φούρνοι","False"
"6612","6610","Προσκλητήρια Γάμου","Χύμα-> Μόδα-> Γάμος-> Προσκλητήρια Γάμου","False"
"5208","3916","Σκαπτικά & Διατρητικά","Χύμα-> Εργαλεία & Αξεσουάρ-> Ηλεκτρικά - Ηλεκτρολογικά Εργαλεία-> Σκαπτικά & Διατρητικά","False"
